Datetime,Collection_Slug,Floor_Price
26/12/2021 05:10,boredapeyachtclub,55.95
26/12/2021 05:10,adidasoriginals,0.735
26/12/2021 05:10,veefriends,9.0
26/12/2021 05:10,derace-ticket,2.74
26/12/2021 05:10,zed-run-official,0.0098
26/12/2021 05:10,derace-horses,0.795
29/12/2021 16:30,bigtime-founders,0.257
26/12/2021 05:20,slotienft,0.426
26/12/2021 05:20,billionairezombiesclub,0.074999
26/12/2021 05:20,boredapeyachtclub,55.95
26/12/2021 05:20,adidasoriginals,0.735
26/12/2021 05:20,veefriends,9.0
26/12/2021 05:20,derace-ticket,2.74
26/12/2021 05:20,zed-run-official,0.0098
26/12/2021 05:20,derace-horses,0.795
29/12/2021 16:40,bigtime-founders,0.257
26/12/2021 05:30,slotienft,0.426
26/12/2021 05:30,billionairezombiesclub,0.074999
26/12/2021 05:30,boredapeyachtclub,55.95
26/12/2021 05:30,adidasoriginals,0.73
26/12/2021 05:30,veefriends,9.0
26/12/2021 05:30,derace-ticket,2.74
26/12/2021 05:30,zed-run-official,0.0098
26/12/2021 05:30,derace-horses,0.795
29/12/2021 16:50,bigtime-founders,0.257
26/12/2021 05:40,slotienft,0.426
26/12/2021 05:40,billionairezombiesclub,0.074999
26/12/2021 05:40,boredapeyachtclub,55.95
26/12/2021 05:40,adidasoriginals,0.73
26/12/2021 05:40,veefriends,9.0
26/12/2021 05:40,derace-ticket,2.74
26/12/2021 05:40,zed-run-official,0.0099
26/12/2021 05:40,derace-horses,0.795
29/12/2021 17:00,bigtime-founders,0.257
26/12/2021 05:50,slotienft,0.426
26/12/2021 05:50,billionairezombiesclub,0.074999
26/12/2021 05:50,boredapeyachtclub,55.95
26/12/2021 05:50,adidasoriginals,0.725
26/12/2021 05:50,veefriends,9.0
26/12/2021 05:50,derace-ticket,2.74
26/12/2021 05:50,zed-run-official,0.0099
26/12/2021 05:50,derace-horses,0.795
29/12/2021 17:10,bigtime-founders,0.257
26/12/2021 06:00,slotienft,0.426
26/12/2021 06:00,billionairezombiesclub,0.074999
26/12/2021 06:00,boredapeyachtclub,55.95
26/12/2021 06:00,adidasoriginals,0.725
26/12/2021 06:00,veefriends,9.0
26/12/2021 06:00,derace-ticket,2.74
26/12/2021 06:00,zed-run-official,0.0099
26/12/2021 06:00,derace-horses,0.795
29/12/2021 17:20,bigtime-founders,0.257
26/12/2021 06:10,slotienft,0.425
26/12/2021 06:10,billionairezombiesclub,0.074999
26/12/2021 06:10,boredapeyachtclub,55.95
26/12/2021 06:10,adidasoriginals,0.725
26/12/2021 06:10,veefriends,9.0
26/12/2021 06:10,derace-ticket,2.74
26/12/2021 06:10,zed-run-official,0.0099
26/12/2021 06:10,derace-horses,0.795
29/12/2021 17:30,bigtime-founders,0.257
26/12/2021 06:20,slotienft,0.425
26/12/2021 06:20,billionairezombiesclub,0.074999
26/12/2021 06:20,boredapeyachtclub,55.95
26/12/2021 06:20,adidasoriginals,0.733
26/12/2021 06:20,veefriends,9.0
26/12/2021 06:20,derace-ticket,2.74
26/12/2021 06:20,zed-run-official,0.0099
26/12/2021 06:20,derace-horses,0.795
29/12/2021 17:40,bigtime-founders,0.257
26/12/2021 15:00,slotienft,0.419
26/12/2021 15:00,billionairezombiesclub,0.0719999
26/12/2021 15:00,boredapeyachtclub,56.0
26/12/2021 15:00,adidasoriginals,0.73
26/12/2021 15:00,veefriends,8.9999
26/12/2021 15:00,derace-ticket,2.74
26/12/2021 15:00,zed-run-official,0.0096
26/12/2021 15:00,derace-horses,0.78
29/12/2021 17:50,bigtime-founders,0.257
26/12/2021 15:10,slotienft,0.4
26/12/2021 15:10,billionairezombiesclub,0.0719999
26/12/2021 15:10,boredapeyachtclub,56.0
26/12/2021 15:10,adidasoriginals,0.73
26/12/2021 15:10,veefriends,8.9999
26/12/2021 15:10,derace-ticket,2.74
26/12/2021 15:10,zed-run-official,0.0096
26/12/2021 15:10,derace-horses,0.78
29/12/2021 18:00,bigtime-founders,0.257
26/12/2021 15:20,slotienft,0.4
26/12/2021 15:20,billionairezombiesclub,0.0719999
26/12/2021 15:20,boredapeyachtclub,56.0
26/12/2021 15:20,adidasoriginals,1.44
26/12/2021 15:20,veefriends,8.9999
26/12/2021 15:20,derace-ticket,2.74
26/12/2021 15:20,zed-run-official,0.0096
26/12/2021 15:20,derace-horses,0.78
29/12/2021 18:10,bigtime-founders,0.257
26/12/2021 15:30,slotienft,0.4
26/12/2021 15:30,billionairezombiesclub,0.0719999
26/12/2021 15:30,boredapeyachtclub,56.0
26/12/2021 15:30,adidasoriginals,0.73
26/12/2021 15:30,veefriends,8.9999
26/12/2021 15:30,derace-ticket,2.74
26/12/2021 15:30,zed-run-official,0.0096
26/12/2021 15:30,derace-horses,0.779
29/12/2021 18:20,bigtime-founders,0.257
26/12/2021 15:40,slotienft,0.419
26/12/2021 15:40,billionairezombiesclub,0.0719999
26/12/2021 15:40,boredapeyachtclub,56.0
26/12/2021 15:40,adidasoriginals,0.73
26/12/2021 15:40,veefriends,8.9999
26/12/2021 15:40,derace-ticket,2.74
26/12/2021 15:40,zed-run-official,0.0096
26/12/2021 15:40,derace-horses,0.779
29/12/2021 18:50,bigtime-founders,0.257
26/12/2021 15:50,slotienft,0.419
26/12/2021 15:50,billionairezombiesclub,0.0719999
26/12/2021 15:50,boredapeyachtclub,56.0
26/12/2021 15:50,adidasoriginals,0.72
26/12/2021 15:50,veefriends,8.9999
26/12/2021 15:50,derace-ticket,2.74
26/12/2021 15:50,zed-run-official,0.009699
26/12/2021 15:50,derace-horses,0.779
27/12/2021 14:50,bigtime-founders,0.256
26/12/2021 16:00,slotienft,0.419
26/12/2021 16:00,billionairezombiesclub,0.07
26/12/2021 16:00,boredapeyachtclub,56.0
26/12/2021 16:00,adidasoriginals,0.72999
26/12/2021 16:00,veefriends,8.9999
26/12/2021 16:00,derace-ticket,2.74
26/12/2021 16:00,zed-run-official,0.009699
26/12/2021 16:00,derace-horses,0.779
27/12/2021 15:00,bigtime-founders,0.256
26/12/2021 16:10,slotienft,0.419
26/12/2021 16:10,billionairezombiesclub,0.07
26/12/2021 16:10,boredapeyachtclub,56.0
26/12/2021 16:10,adidasoriginals,0.72999
26/12/2021 16:10,veefriends,8.899
26/12/2021 16:10,derace-ticket,2.74
26/12/2021 16:10,zed-run-official,0.009699
26/12/2021 16:10,derace-horses,0.779
27/12/2021 15:10,bigtime-founders,0.256
26/12/2021 16:20,slotienft,0.419
26/12/2021 16:20,billionairezombiesclub,0.07
26/12/2021 16:20,boredapeyachtclub,56.0
26/12/2021 16:20,adidasoriginals,0.72
26/12/2021 16:20,veefriends,8.5
26/12/2021 16:20,derace-ticket,2.74
26/12/2021 16:20,zed-run-official,0.0096
26/12/2021 16:20,derace-horses,0.779
27/12/2021 15:20,bigtime-founders,0.256
26/12/2021 16:30,slotienft,0.419
26/12/2021 16:30,billionairezombiesclub,0.07
26/12/2021 16:30,boredapeyachtclub,56.0
26/12/2021 16:30,adidasoriginals,0.717
26/12/2021 16:30,veefriends,8.5
26/12/2021 16:30,derace-ticket,2.74
26/12/2021 16:30,zed-run-official,0.0096
26/12/2021 16:30,derace-horses,0.779
27/12/2021 15:31,bigtime-founders,0.256
26/12/2021 16:40,slotienft,0.419
26/12/2021 16:40,billionairezombiesclub,0.07
26/12/2021 16:40,boredapeyachtclub,57.0
26/12/2021 16:40,adidasoriginals,0.728
26/12/2021 16:40,veefriends,8.5
26/12/2021 16:40,derace-ticket,2.74
26/12/2021 16:40,zed-run-official,0.0096
26/12/2021 16:40,derace-horses,0.779
27/12/2021 15:40,bigtime-founders,0.256
26/12/2021 16:50,slotienft,0.419
26/12/2021 16:50,billionairezombiesclub,0.07
26/12/2021 16:50,boredapeyachtclub,57.0
26/12/2021 16:50,adidasoriginals,0.728
26/12/2021 16:50,veefriends,8.5
26/12/2021 16:50,derace-ticket,2.74
26/12/2021 16:50,zed-run-official,0.0096
26/12/2021 16:50,derace-horses,0.779
27/12/2021 15:50,bigtime-founders,0.256
26/12/2021 17:00,slotienft,0.419
26/12/2021 17:00,billionairezombiesclub,0.06999999
26/12/2021 17:00,boredapeyachtclub,58.88
26/12/2021 17:00,adidasoriginals,0.728
26/12/2021 17:00,veefriends,8.5
26/12/2021 17:00,derace-ticket,2.74
26/12/2021 17:00,zed-run-official,0.009589
26/12/2021 17:00,derace-horses,0.779
29/12/2021 19:00,bigtime-founders,0.256
26/12/2021 17:10,slotienft,0.419
26/12/2021 17:10,billionairezombiesclub,0.06999999
26/12/2021 17:10,boredapeyachtclub,58.88
26/12/2021 17:10,adidasoriginals,0.729
26/12/2021 17:10,veefriends,8.9999
26/12/2021 17:10,derace-ticket,2.74
26/12/2021 17:10,zed-run-official,0.0096
26/12/2021 17:10,derace-horses,0.779
29/12/2021 19:10,bigtime-founders,0.256
26/12/2021 17:20,slotienft,0.419
26/12/2021 17:20,billionairezombiesclub,0.06999999
26/12/2021 17:20,boredapeyachtclub,58.88
26/12/2021 17:20,adidasoriginals,0.715
26/12/2021 17:20,veefriends,8.3999
26/12/2021 17:20,derace-ticket,2.74
26/12/2021 17:20,zed-run-official,0.0095
26/12/2021 17:20,derace-horses,0.779
29/12/2021 19:20,bigtime-founders,0.256
26/12/2021 17:30,slotienft,0.419
26/12/2021 17:30,billionairezombiesclub,0.06999999
26/12/2021 17:30,boredapeyachtclub,58.88
26/12/2021 17:30,adidasoriginals,0.715
26/12/2021 17:30,veefriends,8.3999
26/12/2021 17:30,derace-ticket,2.74
26/12/2021 17:30,zed-run-official,0.0095
26/12/2021 17:30,derace-horses,0.779
29/12/2021 19:30,bigtime-founders,0.256
26/12/2021 17:40,slotienft,0.419
26/12/2021 17:40,billionairezombiesclub,0.06999999
26/12/2021 17:40,boredapeyachtclub,59.0
26/12/2021 17:40,adidasoriginals,0.715
26/12/2021 17:40,veefriends,8.3999
26/12/2021 17:40,derace-ticket,2.74
26/12/2021 17:40,zed-run-official,0.0096
